,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Vol,Taker Buy Quote Asset Vol,Ignore?
138,1509883200000,0.0394,0.0396,0.039251,0.039521,883.697,1509884999999,34.86013228,955,344.675,13.606829,154509.619014
139,1509885000000,0.039519,0.039669,0.039258,0.039292,1044.839,1509886799999,41.24349007,869,465.1,18.35467819,154599.845493
140,1509886800000,0.039292,0.039538,0.039212,0.039247,942.816,1509888599999,37.07492127,766,604.013,23.76053799,157239.42863
141,1509888600000,0.039255,0.039372,0.03908,0.03918,1299.987,1509890399999,50.97385914,1043,546.65,21.46005259,164809.065871
142,1509890400000,0.039256,0.039481,0.039091,0.039423,899.286,1509892199999,35.33840893,777,351.321,13.81174984,164731.230142
143,1509892200000,0.039423,0.039494,0.039181,0.039367,808.376,1509893999999,31.80473642,706,320.821,12.62929801,164084.759102
144,1509894000000,0.039372,0.039485,0.03908,0.03927,934.528,1509895799999,36.6617951,917,266.924,10.47948533,163712.577798
145,1509895800000,0.03927,0.039433,0.039143,0.039244,909.453,1509897599999,35.71439562,781,433.57,17.04072164,163791.386859
146,1509897600000,0.039244,0.039595,0.039197,0.039469,769.088,1509899399999,30.31953115,626,288.346,11.3670124,163859.372136
147,1509899400000,0.039467,0.039529,0.039255,0.039442,520.08,1509901199999,20.49043392,458,181.696,7.16365971,164331.283081
148,1509901200000,0.039392,0.039603,0.039392,0.039521,658.658,1509902999999,26.01570509,388,189.226,7.47417332,164300.339901
149,1509903000000,0.039531,0.039603,0.039376,0.039435,406.053,1509904799999,16.02736767,336,243.109,9.59805346,164265.70601
150,1509904800000,0.039417,0.039434,0.039081,0.039097,258.749,1509906599999,10.15386579,322,106.276,4.17785739,164917.59256
151,1509906600000,0.039096,0.039194,0.039003,0.039098,452.56,1509908399999,17.69615209,362,194.789,7.62068931,164941.499014
152,1509908400000,0.039136,0.039191,0.039002,0.039004,483.213,1509910199999,18.88796799,445,254.613,9.95843916,164969.099911
153,1509910200000,0.039016,0.039105,0.039,0.039066,542.695,1509911999999,21.17762082,456,170.107,6.64223052,165002.892237
154,1509912000000,0.039,0.039293,0.038815,0.039222,692.516,1509913799999,27.02820007,482,295.523,11.53749559,164899.719561
155,1509913800000,0.039222,0.03944,0.03921,0.039402,627.087,1509915599999,24.65147281,506,291.628,11.47415335,165184.90312
156,1509915600000,0.039398,0.040059,0.039345,0.039779,895.327,1509917399999,35.48542103,569,413.761,16.43466383,165500.270318
157,1509917400000,0.039791,0.040363,0.039672,0.040287,837.997,1509919199999,33.46717428,608,358.076,14.31667813,165376.054559
158,1509919200000,0.040287,0.0404,0.039816,0.039985,754.615,1509920999999,30.25090134,429,367.038,14.72681907,165250.497721
159,1509921000000,0.039985,0.040402,0.039869,0.040244,488.189,1509922799999,19.55763679,360,272.618,10.9303728,164630.201551
160,1509922800000,0.040242,0.0405,0.040154,0.040335,744.122,1509924599999,30.01175494,540,220.905,8.92293535,163916.447435
161,1509924600000,0.040436,0.040506,0.039857,0.040147,451.776,1509926399999,18.16290777,444,190.101,7.64993234,163794.630098
162,1509926400000,0.04014,0.040234,0.039856,0.040042,349.242,1509928199999,13.98833781,247,176.136,7.06342401,163634.111585
163,1509928200000,0.040175,0.040347,0.040008,0.040185,595.11,1509929999999,23.93817727,452,296.141,11.91822783,163704.04357
164,1509930000000,0.040166,0.040215,0.040065,0.040156,449.15,1509931799999,18.02790786,501,220.994,8.87498572,163779.978053
165,1509931800000,0.040091,0.040203,0.039978,0.040013,587.181,1509933599999,23.52383201,540,270.942,10.86071278,163807.994945
166,1509933600000,0.040099,0.040186,0.039886,0.039963,598.778,1509935399999,23.9708749,623,292.102,11.70448822,163793.458935
167,1509935400000,0.039961,0.04054,0.039961,0.040184,1190.141,1509937199999,47.8168644,866,753.885,30.31128091,163629.207551
168,1509937200000,0.040198,0.04083,0.040092,0.040825,1675.329,1509938999999,67.87081948,1431,866.312,35.09909351,163398.777412
169,1509939000000,0.040772,0.040852,0.040538,0.040574,1216.188,1509940799999,49.46363917,800,465.313,18.94525744,163721.783005
170,1509940800000,0.040587,0.041119,0.040509,0.041006,1325.61,1509942599999,54.14456662,1055,678.52,27.72848772,163763.847543
171,1509942600000,0.041019,0.04125,0.040587,0.040692,894.445,1509944399999,36.55510586,844,392.758,16.0748808,163950.24232
172,1509944400000,0.0407,0.04081,0.04021,0.040357,754.565,1509946199999,30.53882661,630,325.261,13.18014154,164152.821471
173,1509946200000,0.040319,0.040432,0.040217,0.0403,941.359,1509947999999,37.95245015,552,276.179,11.14196817,164108.737133
174,1509948000000,0.040371,0.040568,0.0403,0.0403,743.476,1509949799999,30.00775578,665,311.121,12.56859826,164098.051019
175,1509949800000,0.040425,0.040479,0.04018,0.040274,946.023,1509951599999,38.14231084,655,401.707,16.2135284,163929.221136
176,1509951600000,0.040258,0.040441,0.04018,0.0402,778.999,1509953399999,31.37510901,644,362.281,14.60493943,163989.411938
177,1509953400000,0.0402,0.040544,0.0402,0.04037,880.334,1509955199999,35.56353975,622,437.522,17.68313899,163897.929733
178,1509955200000,0.040419,0.04057,0.040274,0.040342,984.68,1509956999999,39.79617786,617,507.221,20.51215499,155208.852817
179,1509957000000,0.040304,0.040586,0.04018,0.040324,1110.475,1509958799999,44.77228916,820,600.835,24.24378813,155622.325085
180,1509958800000,0.040308,0.0405,0.040285,0.0405,865.951,1509960599999,35.01682613,693,427.914,17.30902991,155784.866135
181,1509960600000,0.0405,0.040708,0.040344,0.040643,1174.839,1509962399999,47.61899115,765,635.149,25.75837211,155256.47361
182,1509962400000,0.040462,0.040932,0.040453,0.040883,1101.673,1509964199999,44.88565026,850,471.055,19.20631772,155204.190465
183,1509964200000,0.040833,0.040953,0.040732,0.04081,820.77,1509965999999,33.53091204,606,279.576,11.43116635,155449.018065
184,1509966000000,0.040795,0.041125,0.040714,0.041009,971.507,1509967799999,39.79768929,804,445.452,18.25649368,155615.316129
185,1509967800000,0.041008,0.041103,0.041,0.041031,920.085,1509969599999,37.74016114,734,294.21,12.07385249,155904.985996
186,1509969600000,0.041022,0.041299,0.04083,0.040935,1084.396,1509971399999,44.53612984,747,478.681,19.68227011,156017.980689
187,1509971400000,0.040991,0.041054,0.04081,0.040934,902.337,1509973199999,36.94412317,647,545.201,22.33014418,156309.559968
188,1509973200000,0.040908,0.04122,0.04088,0.040958,821.999,1509974999999,33.69998476,606,462.137,18.95224799,156477.297792
189,1509975000000,0.040957,0.041153,0.040868,0.040951,695.548,1509976799999,28.51018648,586,260.384,10.68416138,157153.357772
190,1509976800000,0.04095,0.041271,0.040878,0.041191,1128.371,1509978599999,46.336218,647,699.327,28.73024164,157528.493934
191,1509978600000,0.04114,0.041212,0.041018,0.041064,763.556,1509980399999,31.42482719,699,405.958,16.71529536,157643.841804
192,1509980400000,0.041171,0.041551,0.041021,0.041551,1188.54,1509982199999,49.05449048,867,559.913,23.12381523,157658.8192
193,1509982200000,0.041517,0.042117,0.041515,0.042,1394.248,1509983999999,58.40803816,1187,665.152,27.86132078,157604.817192
194,1509984000000,0.042004,0.042004,0.041373,0.041923,752.738,1509985799999,31.44194407,897,377.599,15.78574773,157580.322555
195,1509985800000,0.041848,0.042009,0.041653,0.04191,676.016,1509987599999,28.31503503,583,318.642,13.34978985,157544.709834
196,1509987600000,0.041917,0.0423,0.041916,0.042238,996.652,1509989399999,41.94020229,748,413.297,17.40903427,157479.074264
